iter	Logloss
0	0.6573630949
1	0.6278688355
2	0.6037759824
3	0.5832290288
4	0.570303133
5	0.5560913263
6	0.5456575397
7	0.5372659595
8	0.52982139
9	0.5229422774
10	0.5174515467
11	0.5148092902
12	0.5107809446
13	0.5067377445
14	0.5042756199
15	0.5030395687
16	0.5005620419
17	0.499140425
18	0.4968346866
19	0.4953178447
20	0.4935865319
21	0.4928201606
22	0.4915531048
23	0.4903203965
24	0.4888385402
25	0.4881303794
26	0.4872168766
27	0.4863178542
28	0.4853890748
29	0.4845027564
30	0.4841738298
31	0.4836815625
32	0.4829879515
33	0.4821882923
34	0.4813694048
35	0.4806781152
36	0.4801114623
37	0.4795175419
38	0.4788524167
39	0.478188091
40	0.4775551274
41	0.4767204429
42	0.4762341426
43	0.4756748146
44	0.4752040561
45	0.474620606
46	0.4736942648
47	0.4734501332
48	0.4731762563
49	0.4726408801
50	0.4717798055
51	0.4713751106
52	0.4710336906
53	0.4703696422
54	0.4701755779
55	0.4698503241
56	0.4693280427
57	0.4689405204
58	0.4689203996
59	0.4688741304
60	0.4684863947
61	0.4680052796
62	0.4677659971
63	0.467049163
64	0.4666912452
65	0.4663714623
66	0.4659640443
67	0.4659618861
68	0.4657133508
69	0.4650851975
70	0.4646301064
71	0.4640844184
72	0.463693396
73	0.4633392406
74	0.4632960134
75	0.4628116998
76	0.4622733935
77	0.4620309003
78	0.4616843491
79	0.4616545015
80	0.461398159
81	0.461042876
82	0.4608061196
83	0.4605203563
84	0.4599037395
85	0.4594323483
86	0.4589397969
87	0.4585928132
88	0.4581621899
89	0.4574756481
90	0.4572044771
91	0.4568813944
92	0.4564287247
93	0.4559614858
94	0.4553819477
95	0.4549507754
96	0.4544677646
97	0.4537668811
98	0.4534835777
99	0.4531873989
100	0.4528819901
101	0.452590833
102	0.4522786054
103	0.4519990555
104	0.4514688924
105	0.4509835957
106	0.4509336244
107	0.4505069171
108	0.4499919569
109	0.4496548043
110	0.449185144
111	0.4488024675
112	0.4483539103
113	0.4479148874
114	0.4476559514
115	0.4470871392
116	0.4462671981
117	0.4459325994
118	0.4456475013
119	0.4452261138
120	0.444686897
121	0.4442678987
122	0.4437234716
123	0.4431408899
124	0.4427465859
125	0.4422911141
126	0.4418471984
127	0.4414330005
128	0.4409875831
129	0.4406547882
130	0.4399300019
131	0.4397438866
132	0.4395311207
133	0.438990505
134	0.4386248145
135	0.4382896625
136	0.4379395517
137	0.4373917901
138	0.4368389077
139	0.436234504
140	0.4358604343
141	0.4356179426
142	0.4352721705
143	0.4347849193
144	0.4345427501
145	0.4341399894
146	0.4339883
147	0.4337433062
148	0.4333495682
149	0.4329281887
150	0.4325795569
151	0.4320306161
152	0.4315846544
153	0.4311839255
154	0.4306205411
155	0.4300559253
156	0.4296462841
157	0.4292451286
158	0.4287903159
159	0.4285127485
160	0.4280694437
161	0.4278224934
162	0.4274117879
163	0.4268804363
164	0.4266321889
165	0.426160932
166	0.4258011342
167	0.4254019446
168	0.4248613458
169	0.4246094535
170	0.4243741134
171	0.4239006462
172	0.4232900585
173	0.4228630655
174	0.4222962749
175	0.4218365612
176	0.4213372622
177	0.4208950345
178	0.4204867652
179	0.4202026877
180	0.4199271754
181	0.4197031747
182	0.4192288626
183	0.4188510024
184	0.418446933
185	0.4181143628
186	0.4177495539
187	0.4170329612
188	0.4166913131
189	0.416439519
190	0.4159480454
191	0.4155145111
192	0.4151940696
193	0.4149879666
194	0.414559682
195	0.4141657134
196	0.4139064842
197	0.4136414578
198	0.4133898661
199	0.4132577695
